# guardian-snapshot v2
135 src/bench_layout.zig|main
135 src/bom_resolve.zig|resolveIdentities
127 src/commands.zig|cmdBuild
141 src/convert/symbol.zig|generatePackage
125 src/diagram/layout.zig|computeFreeLayout
141 src/diagram/layout.zig|powerLayout
132 src/docgen.zig|renderTo
176 src/eval/builders.zig|buildPort
196 src/eval/builders.zig|emitDecoupleItems
136 src/eval/design_block.zig|buildNets
170 src/eval/design_block.zig|evalSection
147 src/eval/design_block.zig|evalSubSection
200 src/eval/design_block.zig|materializeBlock
192 src/eval/instance.zig|buildInstance
129 src/eval/modules.zig|loadComponent
266 src/eval/power_budget.zig|analyze
145 src/export_kicad.zig|exportKicad
135 src/export_kicad_footprint.zig|emitKicadPad
171 src/fab_readiness.zig|check
190 src/kicad_pcb/writer.zig|applyOpsCounted
121 src/placement/drc.zig|check
164 src/placement/optimizer.zig|arrangeMacros
170 src/placement/optimizer.zig|packBoard
153 src/placement/optimizer.zig|packPadAnchored
149 src/placement/optimizer.zig|prepare
170 src/placement/optimizer.zig|resolveConstraints
141 src/placement/router.zig|route
195 src/render_html.zig|renderToHtml
128 src/render_html.zig|writeRequirementsDetails
178 src/render_json.zig|collectGroupConnections
142 src/render_json.zig|collectHubData
188 src/render_json.zig|renderSceneGraph
194 src/render_json.zig|serializeScene
134 src/render_pcb_png.zig|renderCanvas
156 src/render_svg/connection.zig|renderGroupedConnections
131 src/render_svg/context.zig|synthesizeSpokeConnections
152 src/serve.zig|serve
131 src/serve/api.zig|exportReviewPackageApi
164 src/serve/bom_html.zig|writeSchematicBomHtml
183 src/serve/edit.zig|addInstanceApi
200 src/serve/edit.zig|editFootprintApi
121 src/serve/layout_match.zig|layoutMatchJson
125 src/serve/library.zig|collectRows
126 src/serve/mcp_tools.zig|listDesignSummaries
188 src/serve/pcb_describe.zig|writeDescribeJson
188 src/serve/pcb_layout_page.zig|pcbLayoutPage
147 src/serve/pcb_layout_page.zig|saveNamedLayoutApi
125 src/serve/pcb_layout_page.zig|writeBlobHead
177 src/serve/pcb_layout_page.zig|writePcbData
150 src/serve/sync.zig|runKicadPcbSync
186 src/serve/sync.zig|runSyncPlan
121 src/serve/templates/library.zig|_render
202 src/serve/templates/pages.zig|_render
196 src/serve/upload_package.zig|uploadPackageApi
