# guardian-snapshot v2
9 src/convert/footprint.zig|emitCustomPolyPad
8 src/diagram/collect.zig|accumulate
8 src/diagram/collect.zig|antennaPass
8 src/diagram/collect.zig|buildSectionNodes
8 src/diagram/collect.zig|buildSubBlockNodes
8 src/diagram/collect.zig|deriveEdges
7 src/diagram/layout.zig|buildFreeRoute
7 src/diagram/layout.zig|clearHy
7 src/diagram/layout.zig|clearVx
7 src/diagram/layout.zig|hStair
7 src/diagram/layout.zig|vStair
10 src/eval/builders.zig|emitBusLane
8 src/eval/builders.zig|emitDecoupleItems
8 src/eval/builders.zig|processPinForm
7 src/eval/design_block.zig|appendStrideTie
8 src/eval/design_block.zig|evalPinsForm
8 src/eval/design_block.zig|evalSection
8 src/eval/design_block.zig|evalStridedBusNet
9 src/eval/design_block.zig|evalSubSection
7 src/eval/instance.zig|parsePartForm
10 src/eval/power_budget.zig|buildRail
8 src/export_gerber.zig|writeLayer
9 src/export_kicad_footprint.zig|emitKicadCustomPad
7 src/export_kicad_model.zig|buildKicadMod
7 src/import_kicad.zig|emitBoardPad
8 src/kicad_pcb/writer.zig|indexBoardChildren
8 src/kicad_pcb/writer.zig|swapFootprint
8 src/placement/drc.zig|segSegDist
8 src/placement/optimizer.zig|accumulateLeg
7 src/placement/optimizer.zig|appendCapLoop
7 src/placement/optimizer.zig|arrangeMacros
12 src/placement/optimizer.zig|assignSides
7 src/placement/optimizer.zig|buildPinGroups
7 src/placement/optimizer.zig|buildSprings
10 src/placement/optimizer.zig|clusterMultiHub
9 src/placement/optimizer.zig|cohereGroups
8 src/placement/optimizer.zig|dockEdge
10 src/placement/optimizer.zig|dockGroups
10 src/placement/optimizer.zig|emitCapLoop
11 src/placement/optimizer.zig|finalize
9 src/placement/optimizer.zig|fullRouteCost
9 src/placement/optimizer.zig|groupAnchorTarget
8 src/placement/optimizer.zig|groupDockRot
12 src/placement/optimizer.zig|hugToHub
7 src/placement/optimizer.zig|mirrorDiffTwins
7 src/placement/optimizer.zig|orderForBlock
8 src/placement/optimizer.zig|overlayAuthoredGroups
7 src/placement/optimizer.zig|packOneBlock
7 src/placement/optimizer.zig|pinChainAttach
8 src/placement/optimizer.zig|pinTargets
9 src/placement/optimizer.zig|placeSwitchHub
9 src/placement/optimizer.zig|refineSidesByPull
7 src/placement/optimizer.zig|resolveConstraints
9 src/placement/optimizer.zig|ringOwner
8 src/placement/optimizer.zig|routedPolishCost
7 src/placement/optimizer.zig|routedPolishPart
7 src/placement/optimizer.zig|routedSubsetWeighted
7 src/placement/optimizer.zig|rrPad
7 src/placement/optimizer.zig|runStart
8 src/placement/pad_shape.zig|pointDist
7 src/placement/pour.zig|emitCellEdges
7 src/placement/pour.zig|padComponent
9 src/placement/router.zig|accumPad
7 src/placement/router.zig|escapeFan
7 src/placement/router.zig|findEscapeVia
10 src/placement/router.zig|greedyPass
8 src/placement/router.zig|planeViaPass
11 src/placement/router.zig|relaxDiag
9 src/placement/router.zig|relaxStep
11 src/placement/router.zig|softDiag
9 src/placement/router.zig|softStep
7 src/placement/router.zig|stampDisc
7 src/placement/router.zig|trimStub
7 src/raster.zig|discRing
7 src/raster.zig|fillRect
9 src/raster.zig|line
7 src/raster.zig|ring
8 src/raster.zig|text
7 src/render_html.zig|emitComponentEntry
9 src/render_html.zig|renderToHtml
7 src/render_html.zig|writeHeader
9 src/render_html.zig|writeScripts
8 src/render_html.zig|writeSection
7 src/render_html.zig|writeSubBlockCard
7 src/render_json.zig|addLabel
7 src/render_json.zig|addWire
7 src/render_json.zig|collectBranchTreeLeft
7 src/render_json.zig|collectBranchTreeRight
11 src/render_json.zig|collectConnBody
8 src/render_json.zig|collectGroupConnections
7 src/render_json.zig|collectHubConnections
8 src/render_json.zig|collectHubData
10 src/render_json.zig|collectMergedPassive
10 src/render_svg/connection.zig|renderConnBody
7 src/render_svg/connection.zig|renderGroupedConnections
9 src/render_svg/section_inset.zig|renderOneStub
7 src/req_checks.zig|evalDecoupling
8 src/req_checks.zig|evalDecouplingPerPin
8 src/req_checks.zig|evalPullupRange
9 src/req_checks.zig|evalSeriesElement
7 src/req_checks.zig|evalVoltageRange
7 src/review_md.zig|writeHubBlock
7 src/serve/bom_html.zig|collectMissing
9 src/serve/component_info.zig|addRequirement
7 src/serve/component_info.zig|writeComponentJson
7 src/serve/edit.zig|addSectionNoteCore
7 src/serve/edit_assist.zig|writeDiag
8 src/serve/library.zig|buildSearchText
8 src/serve/library_3d.zig|writeViewerDataJson
9 src/serve/mcp_tools.zig|finishDatasheet
7 src/serve/pcb_describe.zig|writeDescribeJson
7 src/serve/pcb_describe.zig|writeLint
7 src/serve/pcb_layout_page.zig|chooseLayout
7 src/serve/pcb_layout_page.zig|writeBlobHead
11 src/serve/pcb_layout_page.zig|writeEditControls
12 src/serve/pcb_layout_page.zig|writePcbData
7 src/serve/pcb_layout_page.zig|writeRightDock
7 src/serve/pcb_layout_page.zig|writeRoutePanel
7 src/serve/pcb_layout_page.zig|writeSubRoutesJson
8 src/serve/rough_best.zig|computeBest
9 src/serve/sync.zig|buildNetSignatureRelinkIndex
10 src/serve/sync.zig|emitAddOp
7 src/serve/sync.zig|emitBlockVias
7 src/serve/sync.zig|emitLayoutVias
8 src/serve/sync.zig|emitOpUnlessApplied
7 src/serve/sync.zig|emitPadNetOps
9 src/serve/sync.zig|emitSwapOp
9 src/serve/sync.zig|handleMatched
7 src/serve/sync.zig|placeOneSelected
7 src/serve/sync.zig|populatePadNetMaps
9 src/serve/sync.zig|runKicadPcbSync
10 src/serve/sync.zig|seedOneSubBlock
8 src/serve/templates/oauth.zig|_render
7 src/serve/templates/oauth.zig|_signature
8 src/serve/vfs.zig|editFile
