# guardian-snapshot v2
6 src/bom.zig|loadBom
7 src/convert/alt_functions.zig|mergePinoutWithAlts
6 src/convert/footprint.zig|emitPad
8 src/convert/symbol.zig|generatePackage
6 src/convert/symbol_helpers.zig|computeBodyBBox
6 src/diagram/layout.zig|separateGroupClusters
6 src/erc.zig|checkBlockPinFunctions
6 src/eval/design_block.zig|appendAutoAliases
6 src/eval/design_block.zig|buildNets
6 src/eval/design_block.zig|evalSection
6 src/eval/design_block.zig|processSharedSectionForm
6 src/eval/ids.zig|prescanIds
8 src/eval/instance.zig|buildInstance
9 src/eval/modules.zig|loadComponent
6 src/eval/power_budget.zig|analyze
6 src/export_kicad_footprint.zig|emitKicadPad
6 src/import_kicad.zig|emitBoardPad
7 src/parts.zig|loadFamily
6 src/placement/optimizer.zig|arrangeMacros
6 src/placement/optimizer.zig|autofillUnlisted
6 src/placement/optimizer.zig|clusterMultiHub
6 src/placement/optimizer.zig|cohereGroups
6 src/placement/optimizer.zig|pinChainAttach
6 src/placement/router.zig|route
6 src/render_json.zig|collectConnBody
6 src/render_json.zig|collectGridCells
10 src/render_json.zig|collectGroupConnections
6 src/render_json.zig|collectTerminals
8 src/render_json.zig|mergeAwareGroupHeights
6 src/render_json.zig|mergeIdenticalSpokes
8 src/render_svg/connection.zig|getConnTerminal
6 src/render_svg/connection.zig|renderConnBody
10 src/render_svg/connection.zig|renderGroupedConnections
6 src/render_svg/connection.zig|renderTerminalGroups
8 src/render_svg/connection.zig|tryChainConns
6 src/render_svg/context.zig|synthesizeSpokeConnections
6 src/render_svg/context.zig|validateNetConsistency
6 src/render_svg/hub.zig|estimateBranchCount
6 src/render_svg/hub.zig|finishGroup
6 src/render_svg/hub.zig|groupHeights
6 src/render_svg/hub.zig|groupHubPins
6 src/review_json.zig|writeComponentRequirements
8 src/serve/api.zig|pinoutApi
7 src/serve/bom_html.zig|buildSymbolPinCache
7 src/serve/bom_html.zig|collectMissing
6 src/serve/edit.zig|addInstanceApi
6 src/serve/edit.zig|removeSectionNoteCore
6 src/serve/library.zig|extractField
6 src/serve/mcp_tools.zig|listDesignSummaries
7 src/serve/pcb_describe.zig|writeDescribeJson
6 src/serve/pcb_layout_page.zig|readCacheSlot
6 src/serve/sync.zig|computeGroupAnchors
6 src/serve/upload_package.zig|uploadPackageApi
6 src/serve/vfs.zig|matchGlobInner
7 src/sexpr/tokenizer.zig|readNumber
