# guardian-snapshot v2
9 src/bom.zig|FlatInfo
8 src/diagram/layout.zig|PowerBox
8 src/diagram/layout.zig|Route
12 src/diagram/lod.zig|Entity
16 src/diagram/types.zig|Node
10 src/eval/env.zig|Check
24 src/eval/env.zig|DesignBlock
12 src/eval/env.zig|DesignRulesSpec
9 src/eval/env.zig|ElectricalDecl
25 src/eval/env.zig|Instance
10 src/eval/env.zig|PlaceholderPart
15 src/eval/env.zig|Port
9 src/eval/env.zig|PowerRail
14 src/eval/env.zig|Section
10 src/eval/env.zig|SectionPort
8 src/eval/env.zig|Value
13 src/eval/evaluator.zig|ComponentData
20 src/eval/evaluator.zig|Evaluator
11 src/eval/instance.zig|ResolvedComponent
11 src/eval/power_budget.zig|Rail
12 src/export_kicad.zig|FlatInstance
9 src/fab_readiness.zig|Stats
8 src/import_fold.zig|FoldResult
12 src/import_kicad.zig|ImportSummary
12 src/import_kicad.zig|Part
11 src/kicad_pcb/writer.zig|ApplyStats
8 src/placement/geometry.zig|Geom
13 src/placement/geometry.zig|Pad
9 src/placement/optimizer.zig|Breakdown
12 src/placement/optimizer.zig|DesignRules
8 src/placement/optimizer.zig|Link
12 src/placement/optimizer.zig|Loop
16 src/placement/optimizer.zig|Params
18 src/placement/optimizer.zig|Part
17 src/placement/optimizer.zig|Placement
9 src/placement/pour.zig|Fill
8 src/placement/pour.zig|PadQuery
8 src/placement/router.zig|PadObs
20 src/render_pcb_png.zig|Options
14 src/render_svg/context.zig|FlatInst
18 src/render_svg/context.zig|RenderCtx
14 src/review.zig|ReviewDoc
10 src/review.zig|SectionReport
14 src/review.zig|Summary
10 src/serve/digikey.zig|Product
9 src/serve/edit.zig|BuildReport
12 src/serve/library.zig|LibraryRow
14 src/serve/mcp_tools.zig|DesignSummary
26 src/serve/pcb_layout_page.zig|PngRequest
10 src/serve/pcb_layout_page.zig|SavedLayout
11 src/serve/sync.zig|BoardFp
10 src/serve/sync.zig|ParsedSyncPlan
